Symbol,Date,Open,High,Low,Close,Adj Close,Volume
HINDUNILVR,06-07-2023,2759.899902,2765,2735.649902,2757.100098,2757.100098,1265020
HINDUNILVR,07-07-2023,2753.100098,2769.649902,2691,2698.100098,2698.100098,1178930
HINDUNILVR,10-07-2023,2709.899902,2711.350098,2651,2656.550049,2656.550049,1518183
HINDUNILVR,11-07-2023,2657.100098,2716.75,2646,2684.5,2684.5,2476367
HINDUNILVR,12-07-2023,2704.949951,2704.949951,2642.5,2673.649902,2673.649902,2395826
HINDUNILVR,13-07-2023,2684.949951,2687.449951,2651.199951,2654.699951,2654.699951,1495067
HINDUNILVR,14-07-2023,2655,2686.5,2651.050049,2676.899902,2676.899902,1419016
HINDUNILVR,17-07-2023,2670,2703.199951,2670,2681.699951,2681.699951,912701
HINDUNILVR,18-07-2023,2685.550049,2701.100098,2677.300049,2682.800049,2682.800049,1215904
HINDUNILVR,19-07-2023,2682.75,2696.899902,2660.899902,2671.600098,2671.600098,1166542
HINDUNILVR,20-07-2023,2669.050049,2716.300049,2658.199951,2703.25,2703.25,1430764
HINDUNILVR,21-07-2023,2650,2676.350098,2592,2604,2604,5198952
HINDUNILVR,24-07-2023,2604,2605.949951,2575,2580.25,2580.25,1777469
HINDUNILVR,25-07-2023,2580.199951,2586.600098,2562.300049,2568.149902,2568.149902,1653775
HINDUNILVR,26-07-2023,2579.5,2598.800049,2572.300049,2583.300049,2583.300049,1300033
HINDUNILVR,27-07-2023,2561,2583,2553,2569.850098,2569.850098,2276136
HINDUNILVR,28-07-2023,2570,2593.75,2565.199951,2584.600098,2584.600098,966450
HINDUNILVR,31-07-2023,2575.050049,2582.899902,2554,2560.800049,2560.800049,2003252
HINDUNILVR,01-08-2023,2570,2573.800049,2545,2551.100098,2551.100098,1758897
HINDUNILVR,02-08-2023,2538,2573.449951,2536,2568.949951,2568.949951,2082908
HINDUNILVR,03-08-2023,2557.949951,2561.050049,2537.199951,2551.300049,2551.300049,1475310
HINDUNILVR,04-08-2023,2551.300049,2558.949951,2535.050049,2546,2546,1359318
HINDUNILVR,07-08-2023,2540,2574,2538.75,2569.199951,2569.199951,803823
HINDUNILVR,08-08-2023,2569.199951,2585.199951,2555.550049,2565.850098,2565.850098,1002061
HINDUNILVR,09-08-2023,2565.850098,2568.949951,2541,2552.199951,2552.199951,1212549
HINDUNILVR,10-08-2023,2549.050049,2551.399902,2527.600098,2536.699951,2536.699951,1313334
HINDUNILVR,11-08-2023,2535,2536.649902,2499,2501.800049,2501.800049,1472199
HINDUNILVR,14-08-2023,2501.800049,2540,2488.100098,2533.100098,2533.100098,1060479
HINDUNILVR,16-08-2023,2534,2555.050049,2524.399902,2552.600098,2552.600098,1155882
HINDUNILVR,17-08-2023,2552.600098,2560.649902,2533,2543.25,2543.25,1532873
HINDUNILVR,18-08-2023,2532.100098,2567.75,2532.100098,2554.75,2554.75,1970819
HINDUNILVR,21-08-2023,2554.75,2574.899902,2539.050049,2562.75,2562.75,977004
HINDUNILVR,22-08-2023,2573.600098,2575,2553,2565.800049,2565.800049,960025
HINDUNILVR,23-08-2023,2575,2583.5,2562.5,2574.050049,2574.050049,1136112
HINDUNILVR,24-08-2023,2585,2591.75,2566.949951,2581.25,2581.25,1143934
HINDUNILVR,25-08-2023,2567,2580.699951,2551.5,2563.550049,2563.550049,802955
HINDUNILVR,28-08-2023,2565,2568,2539,2555.699951,2555.699951,619841
HINDUNILVR,29-08-2023,2558.899902,2558.899902,2522.100098,2526.149902,2526.149902,958564
HINDUNILVR,30-08-2023,2526.149902,2536,2520,2531.949951,2531.949951,1227377
HINDUNILVR,31-08-2023,2532.050049,2539.800049,2491.100098,2505.050049,2505.050049,3235414
HINDUNILVR,01-09-2023,2505.050049,2514.5,2500,2504.800049,2504.800049,813413
HINDUNILVR,04-09-2023,2514,2514,2492,2501.399902,2501.399902,1143301
HINDUNILVR,05-09-2023,2510,2523.449951,2502.100098,2507.050049,2507.050049,844088
HINDUNILVR,06-09-2023,2513.449951,2526.100098,2507.449951,2523.5,2523.5,1094146
HINDUNILVR,07-09-2023,2510,2521.850098,2500,2507.449951,2507.449951,1894798
HINDUNILVR,08-09-2023,2504,2521.050049,2501.550049,2513.800049,2513.800049,1018234
HINDUNILVR,11-09-2023,2513.800049,2538.899902,2509.050049,2536.25,2536.25,1121083
HINDUNILVR,12-09-2023,2549,2549,2488,2498.850098,2498.850098,3946716
HINDUNILVR,13-09-2023,2494,2509,2492,2506.550049,2506.550049,1231305
HINDUNILVR,14-09-2023,2511,2514,2493.100098,2500.800049,2500.800049,2081195
HINDUNILVR,15-09-2023,2474.800049,2490,2466,2469.699951,2469.699951,3750697
HINDUNILVR,18-09-2023,2471.350098,2492.949951,2462,2488.649902,2488.649902,1499641
HINDUNILVR,20-09-2023,2449.649902,2480,2445,2466.850098,2466.850098,1795159
HINDUNILVR,21-09-2023,2466,2483,2442.899902,2473.350098,2473.350098,2223720
HINDUNILVR,22-09-2023,2468,2490,2458,2482.449951,2482.449951,1176741
HINDUNILVR,25-09-2023,2482.449951,2499.699951,2460,2475.850098,2475.850098,1122778
HINDUNILVR,26-09-2023,2474,2489,2461.25,2478.949951,2478.949951,1263548
HINDUNILVR,27-09-2023,2476,2504.800049,2469,2501.75,2501.75,1086791
HINDUNILVR,28-09-2023,2500,2501,2453.199951,2460.350098,2460.350098,1612346
HINDUNILVR,29-09-2023,2465.550049,2472.800049,2450.5,2465.600098,2465.600098,1249567
HINDUNILVR,03-10-2023,2490,2499,2461.800049,2468.899902,2468.899902,1585626
HINDUNILVR,04-10-2023,2467.050049,2511.050049,2465.149902,2507.850098,2507.850098,1587335
HINDUNILVR,05-10-2023,2518,2524.800049,2495.350098,2519.550049,2519.550049,1909928
HINDUNILVR,06-10-2023,2519.949951,2520,2494,2499.399902,2499.399902,1083342
HINDUNILVR,09-10-2023,2485,2516.5,2481,2511.300049,2511.300049,1468771
HINDUNILVR,10-10-2023,2512.199951,2520.850098,2503.350098,2516.199951,2516.199951,1092373
HINDUNILVR,11-10-2023,2518.350098,2563.949951,2516.25,2556.399902,2556.399902,1697398
HINDUNILVR,12-10-2023,2555,2567.550049,2539.199951,2557,2557,1625010
HINDUNILVR,13-10-2023,2553.050049,2576.699951,2542.699951,2569.449951,2569.449951,1531977
